kata tidak baku,kata baku
abjat,abjat
adesi,adhesi
afdol,afdal
aktip,aktif
aktifitas,aktivitas
aquatik,akuatik
alaram,alarm
ambulan,ambulans
amandemen,amendemen
ampibi,amfibi
amoniak,amonia
analisa,analisis
handal,andal
antri,antre
apotik,apotek
artifak,artefak
azas,asas
astronot,astronout
asik,asyik
atheis,ateis
atheisme,ateisme
atlit,atlet
atmosfir,atmosfer
otentik,autentik
adzan,azan
baligh,balig
balsem,balsam
baterei,baterai
brandal,berandal
brantas,berantas
brengsek,berengsek
berfikir,berpikir
bertanggungjawab,bertanggung jawab
bolpen,bolpoin
berankas,brankas
budget,bujet
bowling,boling
borax,boraks
bis,bus
cabe,cabai
capek,capai
cicak,cecak
cidera,cedera
cendikia,cendekia
cendikiawan,cendekiawan
cenderamata,cendera mata
cengkrama,cengkerama
cengkeh,cengkih
coklat,cokelat
daptar,daftar
dasyat,dahsyat
dulu,dahulu
darma siswa,darmasiswa
darma wisata,darmawisata
dasbord,dasbor
debitor,debitur
detil,detail
deterjen,detergen
dijit,digit
diagnosa,diagnosis
differensial,diferensial
dollar,dolar
dopping,doping
drem,drum
drem,dram
duren,durian
efektip,efektif
explisit,eksplisit
eksponent,eksponen
eksport,ekspor
expres,ekspres
extra,ekstra
ekstrim,ekstrem
ekuifalen,ekuivalen
elit,elite
hembus,embus
esei,esai
faksimili,faksimile
pebruari,februari
figure,figur
pondasi,fondasi
formil,formal
pospor,fosfor
photo,foto
photokopi,fotokopi
fotosintesa,fotosintesis
foto-model,fotomodel
fraksinase,fraksinasi
frase,frasa
frekwensi,frekuensi
ghoib,gaib
ghaib,gaib
gengster,gangster
ganjel,ganjal
gatel,gatal
glora,gelora
gladi,geladi
jenius,genius
greget,gereget
giji,gizi
goa,gua
gubug,gubuk
gudek,gudeg
hadist,hadis
hapal,hafal
hakekat,hakikat
angus,hangus
hektar,hektare
herves,herpes
hetrografi,heterografi
hipotesa,hipotesis
history,histori
idil,idiil
ikhram,ihram
ijasah,ijazah
ihlas,ikhlas
iklas,ikhlas
himbau,imbau
import,impor
indera,indra
insyaf,insaf
inten,intens
intisari,inti sari
hisap,isap
isra',isra
istighfar,istigfar
isteri,istri
intemezo,intermeso
ijin,izin
jadual,jadwal
jagat,jagat
jais,jaiz
jasat,jasad
jamaah,jemaah
jenasah,jenazah
jendral,jenderal
yudo,judo
jum'at,jumat
yunior,junior
yuri,juri
kaedah,kaidah
ka'bah,kakbah
kaabah ,kakbah
kangker,kanker
karna,karena
karir,karier
kharisma,karisma
karnafal,karnaval
kasroh,kasrah
katalisa,katalisis
ketapel,katapel
katagori,kategori
kebon,kebun
kadaluarsa,kedaluwarsa
kadaluwarsa,kedaluwarsa
kedelei,kedelai
klengkeng,kelengkeng
kendor,kendur
hatam,khatam
katam,khatam
kuatir,khawatir
khutbah,khotbah
kyai,kiai
client,klien
keliping,kliping
keloter,kloter
koboy,koboi
komersil,komersial
komplek,kompleks
komplit,komplet
konggres,kongres
konsumtip,konsumtif
koordinir,koordinasi
konsleting,korsleting
kosakata,kosa kata
kreatip,kreatif
kreatifitas,kreativitas
kreditor,kreditur
kwalifikasi,kualifikasi
kwalitas,kualitas
kwantitatif,kuantitatif
kwitansi,kuitansi
lebel,label
lapal,lafal
legalisir,legalisasi
lembap,lembab
litosfir,litosfer
lobang,lubang
maap,maaf
macem,macam
maghrib,magrib
maximum,maksimum
mangkok,mangkuk
mantera,mantra
masal,massal
mesjid,masjid
mempengaruhi,memengaruhi
mengkonsumsi,mengonsumsi
merubah,mengubah
mentri,menteri
mencontek,menyontek
merk,merek
mesosfir,mesosfer
materai,meterai
metoda,metode
mi'raj,mikraj
missi,misi
miliyar,miliar
mulya,mulia
nahkoda,nakhoda
nafas,napas
nara sumber,narasumber
nasehat,nasihat
negri,negeri
netto,neto
nomer,nomor
non-blok,nonblok
non militer,nonmiliter
notulen,notula
nopember,november
obyek,objek
obyektif,objektif
ok,oke
omset,omzet
organisir,organisasi
orisinil,orisinal
faham,paham
pait,pahit
palm,palem
pancoran,pancuran
paradox,paradoks
pasca panen,pascapanen
pasca perang,pascaperang
pasca sarjana,pascasarjana
pasport,paspor
pedes,pedas
vermak,permak
pinsil,pensil
presepsi,persepsi
perespektif,perspektif
fikir,pikir
perancis,prancis
presidental,presidensial
produktip,produktif
produktifitas,produktivitas
projek,proyek
propinsi,provinsi
putera,putra
puteri,putri
qur'an,quran
rame,ramai
rapih,rapi
raport,rapor
reamur,reaumur
respon,respons
resistan,resistans
rematik,reumatik
rejeki,rezeki
resim,rezim
resiko,risiko
rubuh,roboh
ruh,roh
sohih,sahih
seksama,saksama
sambel,sambal
sangsi,sanksi
sastera,satra
sate,satai
saos,saus
sekedar,sekadar
sekertaris,sekretaris
seprei,seprai
strika,setrika
seterika,setrika
sintesa,sintesis
supir,sopir
standarisasi,standardisasi
statosfir,statosfer
subyek,subjek
survey,survei
sutera,sutra
swis,swiss
sahid,syahid
sawal,syawal
tehnik,teknik
tauladan,teladan
telpon,telepon
tentram,tenteram
termosfir,termosfer
